Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,48626,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,239110.7638,143.9559084,8104.333333,16180.20454,40640,49,7646,3823.0,4804.083471,7220,426,48561,16187.0,21492.49025,40640,291,0,0,0,0,72,92,61.6953893,82.26051906,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
8080,991947,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,18.14613079,6.048710264,198389.4,270743.6782,499201,588,991297,495648.5,6151.12189,499998,491299,991359,495679.5,5899.391875,499851,491508,0,0,0,0,92,60,3.024355132,3.024355132,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,Bot
80,100517839,7,6,331,11595,325,0,47.28571429,122.4809023,5792,0,1932.5,2179.547086,118.6456068,0.129330277,8376486.583,29000000.0,100000000,3,100000000,16700000.0,41000000.0,100000000,3,79584,15916.8,30549.90716,70134,62,0,0,0,0,220,200,0.06963938,0.059690897,0,5792,851.8571429,1666.545892,2777375.209,0,0,0,0,1,0,0,0,0,917.3846154,47.28571429,1932.5,220,0,0,0,0,0,0,7,331,6,11595,274,235,2,20,3013.0,0.0,3013,3013,100000000.0,0.0,100000000,100000000,DoS Hulk
80,8095831,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.96448876,0.49408146,2698610.333,4671530.64,8092829,1,8095831,2698610.333,4671530.64,8092829,1,0,0.0,0.0,0,0,0,0,0,0,80,0,0.49408146,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,3002.0,0.0,3002,3002,8092829.0,0.0,8092829,8092829,DDoS
53,205,2,2,82,254,41,41,41.0,0.0,127,127,127.0,0.0,1639024.39,19512.19512,68.33333333,113.1606528,199,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,9756.097561,9756.097561,41,127,75.4,47.10413995,2218.8,0,0,0,0,0,0,0,0,1,94.25,41.0,127.0,40,0,0,0,0,0,0,2,82,2,254,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,910170,3,7,26,11601,20,0,8.666666667,10.26320288,5840,0,1657.285714,1964.895647,12774.53663,10.98695848,101130.0,299158.0939,898840,47,10547,5273.5,6480.63365,9856,691,910110,151685.0,366053.281,898840,47,0,0,0,0,72,152,3.296087544,7.690870936,0,5840,1057.0,1734.985821,3010175.8,0,0,0,1,0,0,0,0,2,1162.7,8.666666667,1657.285714,72,0,0,0,0,0,0,3,26,7,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,4095921,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,7.324360016,1.220726669,1023980.25,2046633.22,4093930,3,4095921,1023980.25,2046633.22,4093930,3,0,0.0,0.0,0,0,0,0,0,0,100,0,1.220726669,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,3973887,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,6.039426889,1.006571148,1324629.0,2293475.21,3972906,1,3973887,1324629.0,2293475.21,3972906,1,0,0.0,0.0,0,0,0,0,0,0,80,0,1.006571148,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,14640,3,2,18,0,6,6,6.0,0.0,0,0,0.0,0.0,1229.508197,341.5300546,3660.0,7025.098955,14197,38,443,221.5,40.30508653,250,193,14602,14602.0,0.0,14602,14602,0,0,0,0,60,64,204.9180328,136.6120219,0,6,4.0,3.098386677,9.6,1,0,0,0,0,0,0,0,0,4.8,6.0,0.0,60,0,0,0,0,0,0,3,18,2,0,0,235,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
53,240,2,2,74,154,37,37,37.0,0.0,77,77,77.0,0.0,950000.0,16666.66667,80.0,134.2423182,235,1,4,4.0,0.0,4,4,1,1.0,0.0,1,1,0,0,0,0,64,80,8333.333333,8333.333333,37,77,53.0,21.9089023,480.0,0,0,0,0,0,0,0,0,1,66.25,37.0,77.0,64,0,0,0,0,0,0,2,74,2,154,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
